cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	108	sikebboe	NA	duim	thumb	ibu jari	60	61	90	FALSE												THUMB	1781	https://concepticon.clld.org/parameters/1781
the Mentawai (Pagai & Sipora) list (no date)	109	panausau	NA	wijsvinger	index finger	telunjuk	61	62	91	FALSE												FOREFINGER	577	https://concepticon.clld.org/parameters/577
the Mentawai (Pagai & Sipora) list (no date)	110	siritenga	NA	middelvinger	middle finger	jari tengah	62	63	92	FALSE												MIDDLE FINGER	3387	https://concepticon.clld.org/parameters/3387
the Mentawai (Pagai & Sipora) list (no date)	110	inat singongai	NA	middelvinger	middle finger	jari tengah	62	63	92	FALSE												MIDDLE FINGER	3387	https://concepticon.clld.org/parameters/3387
the Mentawai (Pagai & Sipora) list (no date)	111	sitaoni	NA	ringvinger	ring finger	jari manis	63	64	93	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	112	togat singongai	NA	pink	little finger	kelingking	64	65	94	FALSE												LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774
the Mentawai (Pagai & Sipora) list (no date)	115	tolat	NA	been (gebeente)	bone	tulang	65	66	97	TRUE												BONE	1394	https://concepticon.clld.org/parameters/1394
the Mentawai (Pagai & Sipora) list (no date)	116	logau	NA	bloed	blood	darah	66	67	98	TRUE												BLOOD	946	https://concepticon.clld.org/parameters/946
the Mentawai (Pagai & Sipora) list (no date)	117	akkoela	NA	vlees op het lichaam	flesh	daging	67	68	99	FALSE												FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Mentawai (Pagai & Sipora) list (no date)	118	oengat	NA	pees	tendon	urat	68	69	100	FALSE												TENDON	1137	https://concepticon.clld.org/parameters/1137
the Mentawai (Pagai & Sipora) list (no date)	121	koelit	NA	huid	skin	kulit	70	71	101	TRUE												SKIN	763	https://concepticon.clld.org/parameters/763
the Mentawai (Pagai & Sipora) list (no date)	122/123	boeloe	NA	haar <unsp.>	hair	rambut	71	72	-	FALSE												HAIR	1040	https://concepticon.clld.org/parameters/1040
the Mentawai (Pagai & Sipora) list (no date)	124	attinang	NA	zweet	sweat	keringat	73	74	103	FALSE												SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125
the Mentawai (Pagai & Sipora) list (no date)	125	loedji	NA	speeksel	saliva	ludah	74	75	104	FALSE												SALIVA	1503	https://concepticon.clld.org/parameters/1503
the Mentawai (Pagai & Sipora) list (no date)	126	singoe	NA	fluim	phlegm	dahak	-	76	105	FALSE												PHLEGM	3061	https://concepticon.clld.org/parameters/3061
the Mentawai (Pagai & Sipora) list (no date)	127	moeënga	NA	ademen	to breath	bernapas	115	116	106	FALSE												BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Mentawai (Pagai & Sipora) list (no date)	128	moekôm	NA	eten	to eat	makan	116	117	107	TRUE	eat											EAT	1336	https://concepticon.clld.org/parameters/1336
the Mentawai (Pagai & Sipora) list (no date)	129	maladje	NA	hongerig	hungry	lapar	734	752	108	FALSE												BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533
the Mentawai (Pagai & Sipora) list (no date)	130	moelô	NA	drinken	to drink	minum	117	118	109	TRUE	drink											DRINK	1401	https://concepticon.clld.org/parameters/1401
